topic,Popularity,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29
Topic 0,14,technical,customer,solution,Microsoft,technology,cloud,partner,azure,architecture,business,team,experience,drive,architect,'s,require,sales,design,knowledge,decision,management,spitshine,infrastructure,information,lead,achieve,engagement,preferr,practice,build
Topic 1,615,transformation,change,consultant,business,drive,Ibm,part,experience,continuously,unique,opportunity,work,strategy,geography,team,scale,client,large,application,transform,knowledge,adoption,company,lead,management,development,span,innovate,know,unit
Topic 2,948,-,health,work,support,provide,maintain,management,job,experience,safety,amazon,including,team,associate,site,environment,law,need,relate,administrative,report,must,whs,event,include,risk,medical,specialist,workplace,care
Topic 3,1039,cloud,experience,application,kubernetes,solution,platform,service,container,devops,aw,architecture,technology,architect,design,modernization,etc,azure,native,hand,tool,development,use,hybrid,docker,migration,ci,microservices,security,year,base
Topic 4,602,team,apple,software,engineer,work,experience,technology,product,feature,new,look,skill,user,development,ios,platform,engineering,app,develop,application,strong,design,help,building,quality,build,framework,’s,across,communication
Topic 5,1176,learn,machine,research,ml,model,scientist,datum,science,language,apply,algorithm,computer,deep,experience,develop,team,search,work,problem,python,quantum,vision,process,intelligence,technique,use,natural,state,product,field
Topic 6,1599,datum,process,develop,design,business,big,experience,spark,hadoop,solution,application,system,knowledge,etl,architecture,use,engineer,technology,like,platform,ability,apache,environment,Kafka,hive,integration,advance,work,problem,project
Topic 7,1134,,rfic,Kong,hong,transceiver,инвестиция,pa,isolation,desense,hfss,setup,optimum,облако,transmission,pll,дзен,mmw,node,брокер,mixer,ip,оплата,диск,средство,виртуальный,блогер,дзена,машина,набор,персональный
Topic 8,399,datum,analytics,business,experience,sql,use,tool,insight,intelligence,solution,model,analysis,report,science,engineering,bi,work,team,engineer,analytic,python,query,visualization,warehouse,source,large,pipeline,design,big,etc
Topic 9,595,business,google,advertising,customer,solution,team,experience,client,ad,sales,product,market,work,ability,partner,grow,advertiser,'s,help,skill,agency,medium,relationship,online,digital,qualification,’s,need,strategy,shape
Topic 10,585,talent,candidate,recruit,hire,source,'',business,partner,experience,team,process,recruitment,role,manager,strategy,recruiter,within,acquisition,interview,work,people,leader,staff,ensure,understand,manage,relationship,build,ability,’s
Topic 11,1043,web,developer,experience,application,development,end,javascript,design,front,java,work,use,code,framework,react,build,html,technology,team,technical,api,apis,css,app,js,user,stack,ui,develop,angular
Topic 12,176,process,product,manufacturing,design,engineering,quality,development,new,display,analysis,experience,technology,hardware,team,sensor,test,-,develop,production,engineer,supplier,optical,system,equipment,lead,drive,failure,work,sense,camera
Topic 13,531,test,automation,automate,case,software,use,tool,framework,application,agile,process,experience,manual,understand,development,specialist,create,design,work,Ibm,execute,functional,base,report,management,service,selenium,team,quality,knowledge
Topic 14,730,；,。,）,（,-,深圳,《,》,，,上海,通过腾讯云从业资格证或同等资格认证的优先录取,：,csig全资子公司,teg,成都,王者荣耀,help,北京,cpq,learner,information,people,'',备注：此岗位为腾讯集团旗下全资子公司编制岗位,熟悉tcp,熟悉,model,competence,academic,通过腾讯云技术认证或同等资格认证的优先录取
Topic 15,1360,youtube,safety,work,experience,team,trust,policy,community,creator,content,fraud,partner,abuse,share,world,everyone,together,user,solve,problem,story,cross,place,operation,’s,explore,process,qualification,across,protect
Topic 16,316,sales,business,partner,team,solution,account,opportunity,customer,drive,sell,plan,lead,deal,management,across,strategy,value,market,identify,relate,develop,experience,area,strategic,'s,year,revenue,territory,specialist,growth
Topic 17,315,bull,customer,Microsoft,experience,technical,support,product,every,organization,provide,team,service,help,management,engineering,mission,achieve,lead,engineer,require,group,deliver,opportunity,troubleshoot,create,knowledge,problem,case,end,success
Topic 18,207,sap,application,hana,design,experience,abap,knowledge,environment,develop,datum,object,system,need,maximo,solution,development,form,interface,business,program,report,integration,live,support,work,camera,functional,technical,multiple,world
Topic 19,447,работа,клиент,бизнес,опыт,команда,менеджер,работать,процесс,продажа,искать,компания,продуктовый,развитие,рекламный,рынок,тинькофф,иметь,проект,сотрудник,бздеть,решение,уметь,вопрос,который,знание,нужный,проводить,ждем,делать,продукт
Topic 20,467,business,package,sap,experience,implementation,client,solution,application,team,integrate,test,knowledge,support,design,expertise,management,consultant,work,lead,use,environment,requirement,skill,configuration,technology,year,effectively,module,technical,’ll
Topic 21,6,project,program,management,team,manager,manage,plan,lead,process,drive,operation,across,experience,cross,delivery,stakeholder,ensure,functional,communication,development,leadership,organization,work,schedule,support,multiple,risk,partner,year,execution
Topic 22,506,Microsoft,customer,work,business,team,experience,solution,'s,digital,every,good,achieve,cloud,empower,mission,organization,world,technology,value,mindset,help,learn,growth,transformation,skill,application,drive,innovation,opportunity,deliver
